10
4 1
2 2 2
9 15
4 1 7
8 1 9
5 5 9
6 6 8
7 6 7
4 4 6
4 3 7
4 2 5
6 4 4
6 1 9
5 2 4
8 4 2
5 4 5
7 1 4
5 3 5
14 35
7 2 13
8 6 8
10 1 5
12 7 7
8 8 1
7 7 14
8 4 10
4 3 6
7 6 12
7 1 13
7 3 10
3 2 11
11 2 1
6 3 6
6 2 11
12 4 3
9 6 2
2 1 1
9 2 10
10 2 9
4 4 1
8 5 1
7 5 7
3 3 10
3 1 2
13 6 12
2 2 11
9 5 5
6 5 11
5 1 6
11 9 10
13 3 3
5 4 4
11 3 2
4 2 10
15 52
12 12 8
4 3 5
10 2 3
14 12 14
9 8 6
9 2 2
7 4 5
5 5 5
6 4 14
7 2 14
8 8 8
14 8 4
5 3 10
14 11 8
8 1 6
7 6 10
12 11 3
3 1 15
4 1 11
14 4 1
12 5 7
9 3 1
10 10 11
11 11 3
4 2 4
13 6 9
2 2 9
14 7 9
4 4 9
13 13 15
10 3 12
8 4 10
5 4 13
5 2 13
8 6 12
11 4 14
5 1 6
13 11 10
11 7 9
13 2 12
13 10 5
10 1 5
2 1 14
8 7 10
12 8 10
11 5 2
11 1 10
3 3 1
13 9 12
10 9 9
10 6 6
8 2 12
20 81
2 1 1
5 5 16
11 10 18
18 16 15
16 11 4
19 10 9
12 3 6
19 19 18
9 1 1
6 5 3
15 13 12
7 5 16
4 1 5
10 7 12
15 2 14
11 11 14
15 15 2
6 6 8
11 6 20
7 3 9
15 3 11
16 1 16
9 3 2
13 7 10
10 1 4
16 7 14
6 2 11
17 1 16
14 14 6
16 6 12
13 4 4
17 17 4
12 10 4
14 1 15
2 2 2
19 3 10
19 6 2
14 3 17
10 3 12
14 2 4
5 3 14
4 4 2
4 3 17
16 13 12
12 11 2
17 11 1
19 2 5
12 12 17
6 1 1
18 1 19
19 17 1
7 7 5
15 7 6
18 7 9
11 2 14
8 1 19
15 4 10
3 1 3
16 9 20
9 2 7
16 3 8
14 13 6
16 4 8
13 2 20
11 7 16
6 3 11
10 10 5
16 2 16
13 6 9
8 2 9
9 6 8
4 2 8
7 6 14
11 9 14
11 8 4
8 3 3
17 7 3
13 9 16
7 1 7
3 3 3
3 2 1
20 81
12 7 8
4 4 13
8 7 11
16 13 5
14 2 19
9 4 11
14 10 20
4 3 12
8 5 18
8 6 5
19 8 16
10 10 14
12 6 5
11 2 8
8 1 14
3 2 18
6 2 13
9 5 17
8 4 19
11 3 3
3 3 2
9 3 19
15 7 1
10 9 6
14 5 19
3 1 13
18 10 16
19 2 7
12 11 16
6 4 5
17 17 5
15 10 14
4 1 19
18 5 8
18 15 11
19 7 20
11 7 19
16 10 19
2 1 1
16 6 17
10 5 6
19 15 9
19 19 20
10 2 8
19 4 15
12 2 10
7 5 11
8 8 14
15 5 16
15 8 18
16 15 20
10 7 15
14 6 15
9 2 14
6 5 19
8 2 12
2 2 18
8 3 1
11 9 14
9 9 12
7 4 7
